#    ID RA            Dec          F814W   F555W
#       [deg]         [deg]
      1 161.79422396  17.26717106  19.839  20.670
      2 161.75987290  17.28034670  19.382  22.384
      3 161.75191596  17.28169079  19.675  21.472
      4 161.80250598  17.28914507  19.398  22.646
      5 161.79292914  17.26369081  20.254  21.523
      6 161.78939152  17.25090644  20.167  22.470
      7 161.75948998  17.28646751  22.080  22.042
      8 161.78071844  17.30359919  21.609  22.313
      9 161.79804555  17.26524363  21.057  24.593
     10 161.77513740  17.29169949  21.662  22.433
     11 161.80615522  17.29110514  21.802  22.513
     12 161.78066227  17.26294287  21.598  22.726
     13 161.76825905  17.27378782  21.928  22.551
     14 161.76339160  17.27843565  22.005  22.608
     15 161.77093064  17.26877881  22.102  22.581
     16 161.77201845  17.27634193  22.031  22.699
     17 161.77137939  17.27731517  22.076  22.857
     18 161.75338339  17.27095496  21.751  23.264
     19 161.77590556  17.27045360  22.157  22.874
     20 161.77200779  17.27684323  22.107  22.884
     21 161.77233595  17.27528400  22.113  22.930
     22 161.75206514  17.28232080  22.032  23.110
     23 161.76952443  17.27844066  22.515  22.823
     24 161.77341083  17.27156896  22.642  22.799
     25 161.80167486  17.26002622  22.197  23.047
     26 161.76835580  17.28459403  22.289  23.207
     27 161.75861325  17.27213290  22.313  23.233
     28 161.76096571  17.26986331  22.200  23.321
     29 161.76319394  17.26669385  22.734  22.980
     30 161.79151317  17.25904840  22.396  23.211
     31 161.76909288  17.27126029  22.340  23.225
     32 161.76881537  17.27515550  22.393  23.253
     33 161.76262903  17.28763183  22.561  23.226
     34 161.77409376  17.27632113  22.521  23.267
     35 161.76649737  17.28911640  22.735  23.152
     36 161.76939966  17.27923444  22.691  23.196
     37 161.77202538  17.27626812  22.462  23.439
     38 161.77666890  17.27935505  23.130  23.140
     39 161.75763528  17.27072046  23.006  23.225
     40 161.76473614  17.27243032  22.771  23.340
     41 161.76525371  17.26900339  22.663  23.425
     42 161.77185525  17.27718566  22.569  23.555
     43 161.76873611  17.26745705  23.106  23.265
     44 161.77371744  17.27436345  23.123  23.268
     45 161.76034263  17.30270734  23.176  23.262
     46 161.76558645  17.27740256  22.417  23.778
     47 161.76960692  17.27595778  22.713  23.472
     48 161.78307118  17.28604352  22.545  23.821
     49 161.74854692  17.28128651  22.987  23.382
     50 161.76732195  17.26979811  22.662  23.644
     51 161.75788262  17.28641589  22.874  23.511
     52 161.76268050  17.27791757  22.688  23.657
     53 161.76783554  17.29414517  22.670  27.052
     54 161.76210541  17.27684982  23.048  23.449
     55 161.76287621  17.28725700  22.590  23.873
     56 161.75705247  17.27180383  22.806  23.628
     57 161.77188571  17.27702862  23.052  23.477
     58 161.77554646  17.26036436  22.621  23.831
     59 161.75290639  17.28231263  22.967  23.562
     60 161.76398276  17.28049634  22.649  23.854
     61 161.79397387  17.25123423  22.532  24.068
     62 161.76076043  17.27044059  22.989  23.579
     63 161.76601803  17.27290094  23.107  23.545
     64 161.79240954  17.28286283  22.647  24.009
     65 161.76401581  17.27355715  23.409  23.493
     66 161.77100610  17.27219450  23.013  23.726
     67 161.76629568  17.28393716  23.096  23.683
     68 161.80345761  17.26356575  22.636  25.979
     69 161.76942746  17.26563966  23.383  23.565
     70 161.77835517  17.26051308  23.117  23.725
     71 161.77231063  17.26800020  22.583  24.711
     72 161.76194395  17.28740586  22.847  23.989
     73 161.75520803  17.27493019  23.437  23.577
     74 161.76354958  17.27046057  23.352  23.622
     75 161.75748113  17.27285125  22.646  24.447
     76 161.76272636  17.27573657  22.725  24.246
     77 161.76175465  17.27725135  22.773  24.142
     78 161.77082728  17.28156020  23.165  23.728
     79 161.76652974  17.28367106  22.792  24.181
     80 161.76856404  17.27803507  23.490  23.636
     81 161.77830031  17.25714978  22.917  24.079
     82 161.75580337  17.27334582  23.285  23.786
     83 161.78425257  17.26789726  23.332  23.802
     84 161.75838308  17.26568816  22.989  24.052
     85 161.76396679  17.26829721  22.763  24.671
     86 161.76547030  17.27450027  22.895  24.141
     87 161.76568786  17.27922173  23.487  23.757
