#    ID RA            Dec          F814W   F555W
#       [deg]         [deg]
      1 161.79422396  17.26717106  19.888  20.771
      2 161.75987290  17.28034670  19.461  22.504
      3 161.75191596  17.28169079  19.753  21.591
      4 161.80250598  17.28914507  19.444  22.748
      5 161.79292914  17.26369081  20.304  21.625
      6 161.78939152  17.25090644  20.216  22.570
      7 161.75948998  17.28646751  22.160  22.164
      8 161.78071844  17.30359919  21.687  22.432
      9 161.79804555  17.26524363  21.106  24.695
     10 161.77513740  17.29169949  21.741  22.552
     11 161.80615522  17.29110514  21.851  22.615
     12 161.78066227  17.26294287  21.645  22.827
     13 161.76825905  17.27378782  22.005  22.671
     14 161.76339160  17.27843565  22.085  22.729
     15 161.77093064  17.26877881  22.178  22.701
     16 161.77201845  17.27634193  22.110  22.819
     17 161.77137939  17.27731517  22.154  22.978
     18 161.75338339  17.27095496  21.830  23.384
     19 161.77590556  17.27045360  22.218  22.982
     20 161.77200779  17.27684323  22.185  23.004
     21 161.77233595  17.27528400  22.191  23.049
     22 161.75206514  17.28232080  22.111  23.231
     23 161.76952443  17.27844066  22.594  22.943
     24 161.77341083  17.27156896  22.720  22.920
     25 161.80167486  17.26002622  22.244  23.148
     26 161.76835580  17.28459403  22.368  23.328
     27 161.75861325  17.27213290  22.391  23.353
     28 161.76096571  17.26986331  22.278  23.442
     29 161.76319394  17.26669385  22.812  23.099
     30 161.79151317  17.25904840  22.441  23.313
     31 161.76909288  17.27126029  22.418  23.346
     32 161.76881537  17.27515550  22.472  23.374
     33 161.76262903  17.28763183  22.640  23.348
     34 161.76966899  17.27097151  22.509  23.421
     35 161.77409376  17.27632113  22.600  23.387
     36 161.76939966  17.27923444  22.768  23.315
     37 161.77202538  17.27626812  22.540  23.559
     38 161.77666890  17.27935505  23.208  23.261
     39 161.75763528  17.27072046  23.084  23.345
     40 161.76473614  17.27243032  22.849  23.460
     41 161.76525371  17.26900339  22.740  23.545
     42 161.77185525  17.27718566  22.648  23.676
     43 161.76873611  17.26745705  23.185  23.384
     44 161.77371744  17.27436345  23.201  23.388
     45 161.76034263  17.30270734  23.253  23.382
     46 161.76558645  17.27740256  22.497  23.899
     47 161.76960692  17.27595778  22.791  23.592
     48 161.78307118  17.28604352  22.591  23.919
     49 161.74854692  17.28128651  23.065  23.502
     50 161.76732195  17.26979811  22.739  23.765
     51 161.75788262  17.28641589  22.953  23.632
     52 161.76268050  17.27791757  22.767  23.777
     53 161.76783554  17.29414517  22.748  27.172
     54 161.76210541  17.27684982  23.126  23.569
     55 161.76287621  17.28725700  22.668  23.992
     56 161.75705247  17.27180383  22.885  23.749
     57 161.77188571  17.27702862  23.131  23.597
     58 161.77554646  17.26036436  22.671  23.934
     59 161.75290639  17.28231263  23.045  23.682
     60 161.76398276  17.28049634  22.728  23.974
     61 161.79397392  17.25123436  22.582  24.173
     62 161.76076043  17.27044059  23.068  23.700
     63 161.76601803  17.27290094  23.186  23.666
     64 161.79240982  17.28286274  22.681  24.096
     65 161.76401581  17.27355715  23.488  23.613
     66 161.77100610  17.27219450  23.092  23.846
     67 161.76629568  17.28393716  23.175  23.802
     68 161.80345761  17.26356575  22.685  26.079
     69 161.76942746  17.26563966  23.462  23.684
     70 161.77835517  17.26051308  23.165  23.825
     71 161.77231063  17.26800020  22.662  24.831
     72 161.76194395  17.28740586  22.924  24.109
     73 161.75520803  17.27493019  23.515  23.696
     74 161.76354958  17.27046057  23.431  23.742
     75 161.75748113  17.27285125  22.724  24.567
     76 161.76272636  17.27573657  22.804  24.367
     77 161.76175465  17.27725135  22.852  24.263
     78 161.77082728  17.28156020  23.244  23.848
     79 161.76652974  17.28367106  22.871  24.301
     80 161.76856404  17.27803507  23.569  23.756
     81 161.77830031  17.25714978  22.966  24.181
     82 161.75580337  17.27334582  23.364  23.907
     83 161.78425257  17.26789726  23.381  23.904
     84 161.75838308  17.26568816  23.076  24.177
     85 161.76396679  17.26829721  22.841  24.792
     86 161.76547030  17.27450027  22.973  24.260
     87 161.76568786  17.27922173  23.566  23.877
     88 161.75978827  17.26277994  22.748  24.881
     89 161.75607353  17.28448803  23.661  23.857
     90 161.75944764  17.27093881  23.372  23.994
     91 161.80266337  17.28388213  22.848  24.599
     92 161.77767808  17.26945941  23.679  23.868
     93 161.76928647  17.27009327  23.394  23.967
     94 161.77843471  17.27019161  23.127  24.237
     95 161.76747794  17.27358507  23.417  24.017
     96 161.77086091  17.28158308  22.986  24.463
     97 161.75755892  17.27069723  23.494  23.969
     98 161.76394394  17.26514791  23.648  23.913
     99 161.77868953  17.27115839  23.172  24.198
    100 161.76364647  17.26649197  23.522  23.984
    101 161.75516379  17.28925445  23.684  23.921
    102 161.76508720  17.28379933  23.775  23.896
    103 161.77576844  17.27016450  23.519  23.992
    104 161.76813581  17.26463866  23.394  24.071
    105 161.76710135  17.27513595  23.545  23.979
    106 161.76660627  17.27709005  23.689  23.972
    107 161.76671770  17.27023714  23.187  24.241
    108 161.77152348  17.27729925  23.759  23.930
    109 161.76738553  17.28753535  23.630  24.005
    110 161.76879210  17.28641479  23.683  24.016
    111 161.77662418  17.30713467  23.264  24.260
    112 161.76881666  17.27101587  23.681  24.014
    113 161.76303225  17.26997474  23.305  24.261
    114 161.77971206  17.25656922  23.806  23.988
    115 161.76024749  17.27010519  22.971  24.939
    116 161.77066476  17.27724745  23.201  24.429
    117 161.76985503  17.27091154  23.365  24.196
    118 161.76759377  17.27285400  23.509  24.274
    119 161.76626959  17.27434968  23.672  24.130
    120 161.75307891  17.28421636  23.018  24.887
    121 161.76168610  17.28722693  23.197  24.451
    122 161.77520602  17.27356720  23.801  24.013
    123 161.76416714  17.27347980  23.567  24.101
    124 161.77051092  17.27775057  23.391  24.204
    125 161.75781385  17.28200178  23.019  25.051
    126 161.76066425  17.28490765  23.559  24.140
    127 161.76857142  17.27952881  23.354  24.273
    128 161.75563110  17.27336674  23.621  24.114
    129 161.76258563  17.27148076  23.484  24.194
    130 161.77122643  17.27318348  23.816  24.049
    131 161.76926748  17.26940768  23.079  24.892
    132 161.76414954  17.27362645  23.148  25.487
    133 161.77306145  17.27123211  23.634  24.133
    134 161.76927585  17.27778940  23.560  24.152
    135 161.76261559  17.27112897  23.623  24.142
    136 161.77074705  17.27747702  23.935  24.057
    137 161.81291383  17.29595935  22.985  26.267
    138 161.75841067  17.26563709  23.224  24.607
    139 161.76954130  17.26588338  23.699  24.138
    140 161.78774175  17.26210158  22.989  25.878
    141 161.75997486  17.29602664  23.603  24.218
    142 161.78216445  17.26069419  23.761  24.147
    143 161.76830271  17.26591736  23.128  24.894
    144 161.76417620  17.26511036  23.238  24.647
    145 161.76983724  17.27149934  23.636  24.226
    146 161.75566277  17.28500825  23.671  24.190
    147 161.78014430  17.27531259  23.772  24.181
    148 161.76651750  17.26741108  23.918  24.138
    149 161.77137655  17.27723091  24.130  24.065
    150 161.77272006  17.26605365  23.511  24.350
    151 161.76740005  17.27113214  23.364  24.446
    152 161.75549748  17.28028173  23.930  24.178
    153 161.77371199  17.26812671  24.090  24.102
    154 161.75406080  17.29108871  23.625  24.289
    155 161.76597675  17.28255506  23.834  24.195
    156 161.76106704  17.28371613  23.997  24.132
    157 161.75925644  17.28659036  23.981  24.145
    158 161.76380485  17.27055897  23.472  24.403
    159 161.76517404  17.27898386  23.422  24.466
    160 161.75842430  17.26561131  23.462  24.438
    161 161.76810785  17.27368328  24.203  24.152
    162 161.76459996  17.27391805  23.276  25.546
    163 161.77160803  17.27753894  23.577  24.339
    164 161.77562981  17.26069375  23.856  24.222
    165 161.77186526  17.27711613  23.375  24.715
    166 161.76832740  17.26602426  23.255  25.323
    167 161.76275562  17.26990540  23.235  25.058
    168 161.76796248  17.27214382  23.589  24.366
    169 161.77028829  17.26903914  23.853  24.234
    170 161.77195713  17.27760488  23.833  24.259
    171 161.76904674  17.27136402  23.395  24.516
    172 161.75403544  17.29207997  23.575  24.394
    173 161.77096015  17.26991864  23.686  24.345
    174 161.76896670  17.27483403  24.047  24.207
    175 161.77134018  17.28362326  23.639  24.409
    176 161.76732385  17.27380756  23.443  24.540
    177 161.77014415  17.27192579  23.684  24.352
    178 161.75917565  17.29843400  23.143  25.471
    179 161.75267803  17.28150813  23.924  24.249
    180 161.78386568  17.26500339  23.212  25.047
    181 161.77718377  17.25518675  23.701  24.356
    182 161.77198505  17.27676477  23.277  25.143
    183 161.78446289  17.26139131  23.921  24.260
    184 161.77486095  17.27471249  23.778  24.335
    185 161.77799259  17.27009678  23.468  24.603
    186 161.76657495  17.27709535  23.898  24.308
    187 161.76683105  17.27841878  23.566  24.495
    188 161.77038730  17.26712236  23.967  24.277
    189 161.76650703  17.26724032  24.212  24.207
    190 161.77051025  17.27906276  23.388  24.832
    191 161.76817856  17.28030391  23.764  24.381
    192 161.76973576  17.27480103  24.077  24.261
    193 161.76379378  17.27408236  23.557  24.523
    194 161.76084315  17.27042428  23.321  25.464
    195 161.75695013  17.28225281  23.297  25.405
    196 161.76275325  17.28780576  23.365  25.951
    197 161.77951846  17.26424852  23.909  24.347
    198 161.76630176  17.27435658  23.677  24.714
    199 161.76673234  17.27246467  23.882  24.344
    200 161.77157650  17.27672087  23.733  24.463
    201 161.77378224  17.27721641  24.080  24.345
    202 161.77298549  17.28295563  23.630  24.565
    203 161.77088562  17.26914085  23.524  24.735
    204 161.76753901  17.27242209  24.018  24.343
    205 161.78562516  17.26160646  23.288  25.169
    206 161.76777015  17.26844724  23.843  24.348
    207 161.76467010  17.27547077  23.864  24.395
    208 161.76159084  17.28141554  23.737  24.509
    209 161.76962431  17.27080699  23.487  24.835
    210 161.75811830  17.28482292  24.087  24.321
    211 161.77063499  17.27718747  24.039  24.310
    212 161.76413144  17.29876808  23.482  24.831
    213 161.75486927  17.28074620  24.073  24.365
    214 161.77072634  17.27875408  24.073  24.369
    215 161.75186712  17.28856143  23.929  24.427
    216 161.75995145  17.30223922  23.373  26.259
    217 161.77485162  17.27688859  23.381  25.597
    218 161.75922319  17.28625949  23.792  24.543
    219 161.77888700  17.26593907  23.867  24.468
    220 161.76348632  17.26506549  23.349  25.426
    221 161.75502341  17.27891110  23.359  25.424
    222 161.76517932  17.27514788  23.469  25.244
    223 161.77833400  17.25684640  24.106  24.371
    224 161.76292209  17.28113820  23.592  26.564
    225 161.75903558  17.27394516  23.426  26.116
    226 161.77016690  17.26685696  23.571  24.769
    227 161.77394576  17.27086934  23.471  25.048
    228 161.76089559  17.28038315  23.768  24.590
    229 161.76145549  17.28525707  23.817  24.581
    230 161.76644770  17.27446828  23.802  24.610
    231 161.76701714  17.26848628  23.538  24.935
    232 161.76386747  17.28070784  23.778  24.623
    233 161.77937544  17.26625545  23.987  24.491
    234 161.77167748  17.27855871  24.300  24.376
    235 161.76637094  17.28326335  24.385  24.357
    236 161.76927210  17.26987972  24.118  24.506
    237 161.76948865  17.26912979  23.959  24.508
    238 161.77529490  17.27244779  24.317  24.387
    239 161.77226963  17.26598181  24.200  24.429
    240 161.77054613  17.27884092  24.191  24.435
    241 161.77178437  17.27131049  23.759  24.644
    242 161.77839970  17.26452491  24.468  24.402
    243 161.77208079  17.27423978  24.365  24.383
    244 161.78049849  17.25671727  23.894  24.591
    245 161.77008510  17.27302906  24.225  24.444
    246 161.75991294  17.28534428  23.759  24.720
    247 161.75804210  17.27744204  23.861  24.622
    248 161.76251244  17.27874026  24.000  24.498
    249 161.76350087  17.27431316  23.829  24.623
    250 161.77786318  17.26938828  23.760  24.663
    251 161.76400580  17.26518002  24.283  24.441
    252 161.77028653  17.27269171  23.973  24.541
    253 161.77254408  17.27922983  23.762  24.733
    254 161.76524864  17.27543326  23.863  24.691
    255 161.76117592  17.26961474  23.497  25.679
    256 161.76080827  17.27525701  24.390  24.437
    257 161.76581355  17.27188457  23.777  24.679
    258 161.76229077  17.27187730  23.501  25.670
    259 161.77269420  17.27775276  23.925  24.602
    260 161.77143858  17.27693953  24.306  24.446
    261 161.77813617  17.26122536  24.051  24.532
    262 161.78051456  17.27619162  23.699  24.823
    263 161.76392151  17.28241567  23.510  25.394
    264 161.75850486  17.28522454  23.986  24.584
    265 161.76078236  17.27051638  23.800  24.813
    266 161.77193147  17.27417076  24.368  24.435
    267 161.76031370  17.28580365  23.511  26.146
    268 161.75842037  17.26573231  23.605  24.915
    269 161.77082887  17.26828348  23.814  24.706
    270 161.77611015  17.25119624  24.403  24.444
    271 161.78057517  17.26317318  23.465  25.677
    272 161.76618853  17.27045173  24.088  24.535
    273 161.75851320  17.26964206  23.526  26.030
    274 161.77081771  17.26492627  23.562  26.140
    275 161.77487810  17.27693688  23.491  25.397
    276 161.76953109  17.27412520  23.606  25.797
    277 161.77073640  17.27841838  23.647  25.016
    278 161.76386389  17.27389320  24.400  24.476
    279 161.76021968  17.26266506  24.012  24.618
    280 161.75936287  17.28654849  23.878  24.900
    281 161.76830988  17.25993021  23.665  24.988
    282 161.76360858  17.27303411  24.009  24.592
    283 161.76836147  17.27509712  23.742  26.636
    284 161.76665483  17.27021505  24.034  24.609
    285 161.79397093  17.25126149  23.552  25.092
    286 161.76521854  17.27414103  23.736  26.381
    287 161.75936545  17.28652150  23.920  24.834
