#    ID   RA            Dec        F814W   F555W
#         [deg]         [deg]
      1   161.740398    17.260520  28.674  30.226
      2   161.740423    17.260358  28.313  29.937
      3   161.742414    17.265801  27.936  30.046
      4   161.744215    17.270498  28.973  31.049
      5   161.744665    17.271737  27.794  29.610
      6   161.744587    17.271498  28.526  30.406
      7   161.744380    17.270912  28.903  30.839
      8   161.745703    17.274333  28.034  30.341
      9   161.740807    17.260662  28.990  29.927
     10   161.745695    17.274209  28.502  30.132
     11   161.745212    17.272852  28.972  29.955
     12   161.745118    17.272580  27.920  29.784
     13   161.746651    17.276806  27.698  30.252
     14   161.741671    17.262966  29.025  29.777
     15   161.743396    17.267737  28.653  30.319
     16   161.746239    17.275596  28.520  30.064
     17   161.745331    17.273065  27.329  28.955
     18   161.742248    17.264473  28.087  30.134
     19   161.746876    17.277318  28.879  30.369
     20   161.745871    17.274522  27.770  30.095
     21   161.747304    17.278489  28.420  29.539
     22   161.746569    17.276442  28.691  30.135
     23   161.746511    17.276260  27.901  29.741
     24   161.744416    17.270437  28.706  30.441
     25   161.741815    17.263203  28.228  30.830
     26   161.747248    17.278266  29.088  29.947
     27   161.744558    17.270795  28.527  30.256
     28   161.745673    17.273869  28.603  30.128
     29   161.742991    17.266378  27.722  29.981
     30   161.740980    17.260785  29.002  30.707
     31   161.747441    17.278699  28.637  29.964
     32   161.746211    17.275266  28.957  30.152
     33   161.748212    17.280806  28.664  30.490
     34   161.745224    17.272460  27.927  30.103
     35   161.746682    17.276491  28.766  31.294
     36   161.748081    17.280373  27.524  29.819
     37   161.748595    17.281789  28.157  29.269
     38   161.748034    17.280221  28.923  30.149
     39   161.748352    17.281100  28.337  31.004
     40   161.746784    17.276745  28.450  29.559
     41   161.748708    17.282061  28.429  29.844
     42   161.748586    17.281720  28.528  30.717
     43   161.745959    17.274395  27.679  29.690
     44   161.748265    17.280790  28.350  30.959
     45   161.747717    17.279258  28.739  31.029
     46   161.747446    17.278500  28.656  30.684
     47   161.744630    17.270665  28.361  30.154
     48   161.748209    17.280560  28.595  29.014
     49   161.748083    17.280186  29.108  30.803
     50   161.746915    17.276938  29.096  30.910
     51   161.749162    17.283168  28.321  30.969
     52   161.742677    17.265153  27.597  30.697
     53   161.748374    17.280963  28.634  28.740
     54   161.744053    17.268969  28.568  29.630
     55   161.749520    17.284133  28.175  30.491
     56   161.748067    17.280092  26.798  28.130
     57   161.749384    17.283744  28.174  29.758
     58   161.749220    17.283287  26.816  29.142
     59   161.748025    17.279969  28.472  29.706
     60   161.741218    17.261071  28.230  30.292
     61   161.741664    17.262283  28.616  29.802
     62   161.748971    17.282563  28.121  30.175
     63   161.749326    17.283536  27.339  29.972
     64   161.748733    17.281885  28.812  29.744
     65   161.748623    17.281577  27.759  30.182
     66   161.748847    17.282198  27.660  30.276
     67   161.749832    17.284932  28.414  29.977
     68   161.748010    17.279868  27.821  30.750
     69   161.748719    17.281828  28.447  30.988
     70   161.747227    17.277684  28.495  30.629
     71   161.744698    17.270659  28.607  29.920
     72   161.747842    17.279381  27.706  30.282
     73   161.749253    17.283285  28.325  29.445
     74   161.749046    17.282693  27.996  28.951
     75   161.750114    17.285656  28.057  29.880
     76   161.748297    17.280602  28.459  30.519
     77   161.749996    17.285316  27.210  29.557
     78   161.748546    17.281287  23.062  23.515
     79   161.746300    17.275053  28.601  29.147
     80   161.750187    17.285811  28.266  30.147
     81   161.750388    17.286349  28.374  30.930
     82   161.748684    17.281621  28.348  29.527
     83   161.749881    17.284939  27.647  27.764
     84   161.748847    17.282062  27.323  27.016
     85   161.749959    17.285143  28.534  31.087
     86   161.750091    17.285496  29.083  30.264
     87   161.749092    17.282722  28.954  30.168
     88   161.749434    17.283672  28.399  29.998
     89   161.748806    17.281920  27.866  31.231
     90   161.749384    17.283516  28.452  29.588
     91   161.750017    17.285271  29.007  30.210
     92   161.747924    17.279452  27.349  29.502
     93   161.746382    17.275171  28.427  31.263
     94   161.742200    17.263559  28.500  30.191
     95   161.750603    17.286876  25.190  25.381
     96   161.750251    17.285897  28.910  28.809
     97   161.750086    17.285434  28.138  30.961
     98   161.746774    17.276238  28.813  29.969
     99   161.751185    17.288472  28.155  29.511
    100   161.743757    17.267846  28.561  29.907
    101   161.749812    17.284652  27.933  30.732
    102   161.751261    17.288649  28.505  31.204
    103   161.750783    17.287319  28.602  30.258
    104   161.748452    17.280848  28.393  30.325
    105   161.750529    17.286604  27.003  28.011
    106   161.751403    17.289023  28.983  31.188
    107   161.749160    17.282788  27.577  29.478
    108   161.745752    17.273321  28.424  29.944
    109   161.747882    17.279217  28.727  30.185
    110   161.751060    17.288028  28.878  29.672
    111   161.749503    17.283703  27.822  30.248
    112   161.749963    17.284978  28.427  29.838
    113   161.748186    17.280033  28.642  30.663
    114   161.746836    17.276288  27.882  31.287
    115   161.744519    17.269856  28.926  29.925
    116   161.745624    17.272919  28.760  30.417
    117   161.751809    17.290085  28.586  30.143
    118   161.750982    17.287787  27.598  27.899
    119   161.750362    17.286062  28.644  30.278
    120   161.750134    17.285430  28.950  29.118
    121   161.747502    17.278125  27.905  28.592
    122   161.746724    17.275961  27.970  30.133
    123   161.750828    17.287352  28.134  29.558
    124   161.749698    17.284215  28.767  30.472
    125   161.748147    17.279897  28.638  29.752
    126   161.747885    17.279166  28.696  30.592
    127   161.751350    17.288774  23.976  26.513
    128   161.751418    17.288955  27.704  27.686
    129   161.749111    17.282554  28.475  30.277
    130   161.741558    17.261584  28.264  30.157
    131   161.750878    17.287443  28.035  29.365
    132   161.749799    17.284447  28.378  30.130
    133   161.750689    17.286915  28.855  28.004
    134   161.748340    17.280395  27.259  27.274
    135   161.749634    17.283978  29.118  28.708
    136   161.748812    17.281697  27.647  30.633
    137   161.751686    17.289667  27.731  29.986
    138   161.749016    17.282254  28.585  30.648
    139   161.750970    17.287676  27.721  29.073
    140   161.748679    17.281293  28.015  30.193
    141   161.750671    17.286818  27.564  28.962
    142   161.750498    17.286334  27.266  27.307
    143   161.750088    17.285196  28.737  30.323
    144   161.750274    17.285708  28.923  30.292
    145   161.749997    17.284933  28.836  30.042
    146   161.744331    17.269207  28.339  30.302
    147   161.747640    17.278390  27.986  30.550
    148   161.751500    17.289100  28.016  28.449
    149   161.746410    17.274975  28.269  30.471
    150   161.742543    17.264237  27.892  31.068
    151   161.751280    17.288484  28.586  30.310
    152   161.751998    17.290466  28.746  30.382
    153   161.752527    17.291932  28.901  30.415
    154   161.749668    17.283993  28.745  30.349
    155   161.748362    17.280357  27.003  28.449
    156   161.752548    17.291975  28.780  30.619
    157   161.747235    17.277229  28.643  29.959
    158   161.751916    17.290216  28.682  29.893
    159   161.747644    17.278356  26.945  29.519
    160   161.748636    17.281103  26.545  26.835
    161   161.748291    17.280145  28.931  30.924
    162   161.752269    17.291174  27.014  27.496
    163   161.749543    17.283606  27.391  28.756
    164   161.751433    17.288846  27.502  28.690
    165   161.751698    17.289579  28.838  30.016
    166   161.750555    17.286404  28.662  29.521
    167   161.748811    17.281563  28.680  30.125
    168   161.750539    17.286351  28.511  28.654
    169   161.752462    17.291686  27.657  30.002
    170   161.750908    17.287371  28.201  28.509
    171   161.750984    17.287574  28.252  30.113
    172   161.750004    17.284845  28.391  29.545
    173   161.744377    17.269223  28.605  30.390
    174   161.749247    17.282738  27.876  28.871
    175   161.751642    17.289384  28.806  29.547
    176   161.745131    17.271312  27.896  29.585
    177   161.750075    17.285032  27.600  27.785
    178   161.750695    17.286753  25.305  25.527
    179   161.748766    17.281392  25.806  27.699
    180   161.748466    17.280558  28.905  30.096
    181   161.748037    17.279360  28.354  30.466
    182   161.749080    17.282253  28.373  30.762
    183   161.749633    17.283782  28.784  30.805
    184   161.746615    17.275404  28.777  29.568
    185   161.750168    17.285261  28.479  30.263
    186   161.748263    17.279971  28.587  30.740
    187   161.749686    17.283919  28.355  28.503
    188   161.751165    17.288022  28.304  31.207
    189   161.743752    17.267444  28.384  31.004
    190   161.749186    17.282520  28.598  30.100
    191   161.747895    17.278938  28.472  30.213
    192   161.751627    17.289289  27.759  29.199
    193   161.750604    17.286431  28.258  30.615
    194   161.748068    17.279392  28.952  30.390
    195   161.750428    17.285939  27.759  28.573
    196   161.752596    17.291955  28.836  30.443
    197   161.748480    17.280530  28.313  30.803
    198   161.743539    17.266815  28.122  30.528
    199   161.751804    17.289752  27.870  29.390
    200   161.749828    17.284268  28.064  30.820
    201   161.752301    17.291126  28.556  30.001
    202   161.752513    17.291714  28.499  29.474
    203   161.749711    17.283937  27.730  28.790
    204   161.750276    17.285499  29.033  30.433
    205   161.748163    17.279634  29.097  30.852
    206   161.751382    17.288566  26.064  27.797
    207   161.748730    17.281202  28.323  30.489
    208   161.753005    17.293067  26.457  29.573
    209   161.751890    17.289969  28.273  30.280
    210   161.750333    17.285647  29.073  29.595
    211   161.752335    17.291202  28.889  29.908
    212   161.748751    17.281253  27.302  30.115
    213   161.752268    17.291012  28.517  29.269
    214   161.747393    17.277480  28.594  29.903
    215   161.752237    17.290923  27.416  29.980
    216   161.750889    17.287181  27.898  28.947
    217   161.750134    17.285084  27.041  29.794
    218   161.753216    17.293636  28.726  29.605
